Comment,Hatespeech
Amerikonas karo kurstytojas ir pralobti is kitu,Yes
"Dauguma afrikieciu yra arogantiski,bet vienetai pasitaiko ir geru 😊",Yes
"Kur pasirodo amerikontas-ten bardakas Irake pridirbo,pabėgo,dabar irakiečiai varo pas mus,iš Afganistano gėdingai pabėgo,afgancai tuoj bus čia ir tai daro ""galingiausia""pasaulio armija,kuriai mes mokam didelius pinigis už saugumą",Yes
"Kur pasirodo amerikontas-ten bardakas Irake pridirbo,pabėgo,dabar irakiečiai varo pas mus,iš Afganistano gėdingai pabėgo,afgancai tuoj bus čia ir tai daro ""galingiausia""pasaulio armija,kuriai mes mokam didelius pinigis už saugumą",Yes
nafik jie cia reikalingi..nors atviras negriux...Lt nepasiliks..ir uz tai aciu,Yes
"O kodel JAV turetu amzinai saugoti ta babajina??? Patis pasidave be kovos siuksles, o dabar leks pas krikscionius i europa reikalauti teises, musliu veidmainiai.",Yes
"rusai su bulbašais sunčia mums valkatas kurie neteisėtai kerta Lietuvos sieną.o mūsų parsidavėliai jiems suteikia visas salygas,o lietuviams špygą",Yes
"rusai su bulbašais sunčia mums valkatas kurie neteisėtai kerta Lietuvos sieną.o mūsų parsidavėliai jiems suteikia visas salygas,o lietuviams špygą",Yes
"Teko su Indu lekt , masina niauke tvartu",Yes
"Amierikieciai KVAILIAI! Jie toliau savo amerikos nieko nezino, todel nieko nuostabaus...",Yes
"Geriau jau uzsenietis negu lietuvis, del daugumos man yra geda, kad as pats lietuvis.",Yes
Laikas keisti odos spalva busi babajus,Yes
"Laikas tau I kapus nukrioses seni, babajam kaip tu juos vadini bus lengviau kai tokiu meningitu maziau liks",Yes
"Močiutė pasakojo, vokeciu kariai buvo disciplina, visi buvo tvarkingi švarus. Rusų apdriske prasmirde ir žiaurus. Voketis pasisiulydavo net tvartą ismezti, nedykinejo apsiprausdavo persirenge issikvepino ir tokia tvarkingas kaip visa Vokietija. Karo buvo visiškai sunaikinta bet atsistojo ant kojų nes darbšti sumani tauta.",Yes
patys lietuviai yra didžiausi aborigenai,Yes
Tie kurie taip daro yra patys beždžionės nes pas juos smegenys dydžio kaip makakos,Yes
"Virginijus Jakubauskas ta patį ir aš iš savo senelio girdėjau, vokiečiai tvarkingi išsikvėpinę dekolonais kvepėjo, o kai užėjo ruskiai tai salerkuoti, apiplyšę, atomatai ant šniūrelių surišti😁",Yes
Bulbašai tegul važinej aplink siena kiek nori,Yes
"tegul jinai pirma apsilanko pas pacius amerikiecius, negrus ir paziuri kaip jie gyvena. Tai tie imigrantu sulaikymo centrai bus kaip 5-kiu zvaigzduciu viesbutis",Yes
tegul varo namo visi tie atbėgėliai-pabėgėliai. Ten bus idealios sąlygos. NIEKAS JŲ čia NEKVIETĖ.,Yes
"Žynoma kad ne,slabakai tie baltaruskiai",Yes
"Ajajaj,vienas durnius išdavė kita durniu,kad Ukrainą visdelto uzpuole kacapai😂Du marazmatikai,kai aklas kelią rodo,o kurčias balsą girdi.",Yes
"Laurynas Copperfield G patinka šitas straipsnis, nes jam patinka kaip afrikietiškas šokoladas krenta ant žemės. Rasistas!",Yes
negras? 😃 jie atsparus gravitacijai 😃,Yes
Kybartuose migrantams turi pasakyti:jai nevalgykite jus atiduosime lenkams...,Yes
Na tegu nevalgo nieko neveikia ir nesinori tegu varo namo👍,Yes
nu nahuij tegu dzaugias o jai nepatinka tegul vazuoja y baltarusija,Yes
"Tegul vaziuoja namo,kur maistas,vanduo skanus.reikalingi cia jie simtas metu..",Yes
Jie isvys laukiniai pas mus dirbū lauzo viska,Yes
"Parsiskraidino bulbiašai,tai tegu pas save laiko tuos pabėgėlius.",Yes
"pritarčiau....Bet kol prisikas iki Vokietijos, paliks kalnus smirdančių šiukšlių, kurias mums, tvarkingiems tautiečiams, teks kuopt🙁...",Yes
Užtai chaholams užpakali bučiojam😡😡😡😡,Yes
"Valentina Baltruke ,tiems ,kuriems vėliavas kabina,atvyksta mamos su vaikais,o vyrai gina savo šalį. Dabar pažiūrėk kiek metu tiems juodziams,kurie atbėgo gyventi iš pašalpų.",Yes
Bet kaip gaila man vokietijos dėl šitų @tm@tu.... 😢😢😢. Kaip ir is Švedijos pasidarė svedistanas.,Yes
"Ir chacholai su bulbininkais ir savo:prezidente"" galetu isvyktj,nes nusibodo juos popinti ,patys greitai nieko neturesime...",Yes
"Ir chacholai su bulbininkais ir savo:prezidente"" galetu isvyktj,nes nusibodo juos popinti ,patys greitai nieko neturesime...",Yes
"Irmantas Bačelis kai tu siena kurso tai tave nuteis ,o juodųjų turi šerti.",Yes
"Mažiau valkatų Lietuvoje, vokiečiai priima visus tai tegu ir varo ten.",Yes
neverk dėl juodašikniu priglauski gal patiks,Yes
"Nu ir varykit,parazitai jūs,mes seniai žinojome,kad jūs tik iš pašalpų gyvent norit,nesugebat jokio darbo dirbt,tik veistis kaip triušiai mokate.",Yes
"Nu, pabėgo tai ir gerai, o vokiečiai viso pasaulio nevykėliai ir melžiama karvė.",Yes
"Tai taip, jie vokieciuose geriau gyvena nei vietiniai. Jiems viskas galima, visur jie pirmose vietose kas poreikius liecia. Ir pasipuose, ir pamaitinti, ir pinigu gauna, ir namai apstatyti pagal skoni kaip nori ir dar narkotikams lieka-ir bim bam pa uglam. O ko jiems nebegti ten..",Yes
Baltarusiai tokie patys kaip ir rusai nieko nesiskiria subinlaiziai 🤣😅🙈,Yes
Baltarusiai tokie patys kaip ir rusai nieko nesiskiria subinlaiziai 🤣😅🙈,Yes
"Nebeidomu,tegu visi negrai sulekia,mat gi laukiami yra.",Yes
Pasiųsti bulbas viena kryptimi,Yes
"Porą imigrantų pasovei į kojas, surasei pasiaiskinima jog puolė ginkluotus pareigūnus ir fsio, nereikės plust į Lietuvą, jie teisių neturi jokių, nes yra ne Europos pilieciai",Yes
"Manau tie turistai, tai koloborantai, nesuprantantys kad maitina Putina",Yes
"Nenusisnekekite , gerbiamasis .......Jeigu jie butu zmones, nelandziotu is krumynu, nesibrautu i svetima sali nelegaliai . Ir dar pamokslauja , kokie blogi vietiniai. Tai kokio velnio cia lenda?",Yes
Taip ir toliau juodasiknius siuskit namo,Yes
O tai jums dar mazai siu parazitu ?,Yes
"Baikit kišti tuos bulbašus, pažiurėjus atrodo kat žandai pliš.",Yes
"Nežinau ar daug toli išbėgo. Vilniuje tiek tamsiaodžių jaunų šlaistosi, kad jau vienam pensininkui nesmagu leistis į perėja kur mažesnis žmonių judėjimas.",Yes
"120 baznyciu per paskutinius metus. No Go zonos irgi yra, tik neskelbia varliai",Yes
Babajai,Yes
"Priveskit dar cukciu duokit veltui namus ir pasalpas
Ir seima padegs kai nebeliks baznyciu
🤣😂🤣😂🤣😂",Yes
"Atoveiksmis, maskoliai naikina Ukraina, o patys švenčia, linksminasi. Taip turėjo būti.",Yes
"Grojo automatine muzika 😅😅😅
Cia patys Maskoliai savus ,kad suversti kalte kitiems. Aisku gaila zmoniu, bet cia geras ejimas,paraginti likusius stoti I kariuomene ginti salies. 😒",Yes
ką atneša kac.pų asvabaditeliai į šeimas?,Yes
kad lietuviai zude zmones kitose salyse nieko?,Yes
"Labai jie nori isprovokuot kara rimtesni,paziuresim kaip tai atsilieps kaxolam😉",Yes
"lietuviai lyg kokie rasistai. Jiems istark zodi rusas, tai iskart kaip sunys urgzt pradeda. Baisi musu tauta",Yes
negaila nei vieno kac.po,Yes
o kaip Ukrai apsaudineja Donbasa 8m.irgi gerai buvo?,Yes
"Tokia drasi driskių tauta,bega nuo trijų vyriukų",Yes
"Žuvo ruzzai, one nekalti žmonės",Yes
"Atseit mes saugus ,bet kaip migrantus paleis ,tada ir paaiškés visas ,,saugumas """,Yes
Nera ko mus raminti _ i lektuva ir atgal is kur atvyko!,Yes
"Pasakė,,turėtų jaustis saugiai"",bet ar jaučiasi saugiai,jai mažiausiai rūpi,svarbu perbėgėliai saugūs,sotūs,šiltai aprengti ir valytojos kuopia jų mėšlą.Graudu,bet piningai daro savo",Yes
"Atsimerkia akys visiems..tik deja lietuviams to niekad nebus xD dabar stums ant prancuzu,sakys kad ir anie vatnikai.. xD",Yes
"matyt varliu persivalge,...",Yes
"Rusu kaip tautos irgi nera, jie yra mongolu palikuonys.",Yes
Sumautas prancuzu varliaedis toliau savo nosies nemato tikras bestuburis,Yes
Ant kebabu paleido😂😂😂,Yes
deportúot,Yes
"Greiciau dievulis salcio paduotu da pries lapkricio 1. Nors -30c. Visi islektu ,arba susaltu. Uzkasim susalusius.",Yes
"Kaip paskutines kiaules.. visus šiukšles..
ir visi atrodo tokie patenkinti.. šlykštu!",Yes
Na va ir yiodymas kad tai buvo siųsti dzichadistai o kiti tik priedanga,Yes
"nu tai uzkast katrie susals, kad pvasary nesmirdetu.😀",Yes
"Taigi toli nereikia ieškoti Kaune tu babaju desantas nusėdo,aš sakiau kas čia vyksta,kiekvieną dieną važinejuosi darbo reikalais,po Kauną tikrai būdavo ir anksčiau matydavau,bet prieš praėjusio mėnesio pabaigą jų kaip tarakonų priviso ant kiekvieno kampo,ir nieko neveikia trinasi ant šaligatvio,sakyčiau kokas piicas,išvezioja,būna matosi iš anksčiau matyti kurie dirbdavo,dabar tai matosi kad nedirbantys matyt iš ten ir bus pabėge,bet svarbiausia kad nepradėtų nusikaltimų daryt,geriau varytu kur toliau nuo Lietuvos,kaip Rusai sako at gixa padalše",Yes
atsibusk žydas kaip ruskis okupantas yra,Yes
atsibusk žydas kaip ruskis okupantas yra,Yes
Izraelis privalo sunaikinti tą teroristų lizdą. O ES turi pagaliau praregėti ir uždaryti savo sienas barbarams.,Yes
"Lokit vatos lokit... o gal varykit gazos ruozo ginti kartu su hamas issigimeliais.. pateksit pas alacha, galesit suicidines liemenes danguj siuti",Yes
"Palestinos okupantams viskas leidžiama.,,😱",Yes
Teroristus nesvarbu kuriuos islamo ar rusų reike naikinti bepasigailėjimo o tas u niversitetas panašu ir ruošė teroristus,Yes
"tikiuosi visa gaza nunes, terooooristu naikinimas, nera genocidas, kai atakos diena gaza ir palestina svente, kai hamas skeeeerde visus paprastus zmones… 🫡",Yes
žydai gina savo šalį nuo teroristu !!!,Yes
"Didele tikimybe kad tai tu paciu beganciu moteru sunus, kad tai verkianciu vaiku tevai pasirinko terorizmo kelia ir isejo zudyti zydu
",Yes
Is Gazos ruozo bega teroristu mamos. Juk ne is sventos dvasios jie gime,Yes
"geras zydas, mires zydas, jankiai tokios taktikos, laikesi 100 metu, indenu atzvilgiu...😎",Yes
"jeigu zydai užeitu į Gaza ? Jie ten visad užeina . Pilna armijos su šautuvais. Čia nekelk tik zydu į padanges ,šaudo jie ir į vaikus ,ir į moteris . Į 2 metu vaiką kokiu tikslu reikia šauti pavyzdžiui ? Į kitus šaudo,nes jie meto akmenis . Armija ten diena 24 valandas ,kai tavo vaiką nušaus kažin ką tu sakysi.",Yes
Okupantai žydai jei ka ...,Yes
"durne lysk i savo vienkiemi, jei nenori zinoti. Musulmonai puola laisvaji pasauli, tikrai ne be rusijos pagalbos. Turim palaikyti nes neduokdie iki musu ateis.",Yes
Izraelio teroristai gavo ko nusipelne. Kerstas uz zudomus ir prievartaujamus Palestinos vaikus. Tampo hamasa uz usu ir tikisi kad tie ateje paspaus ranka? 😆,Yes
"Izraeliui bus žalia šviesa galutinai išvalyti Gazą nuo brudo. Manote šiaip Izraelio žvalgybos prašliopino Hamas įsiveržimą? Leis laukiniams pasiautėti, kad pasaulio akyse turėtų pretekstą galutinai užbaigti cackinimasi su Palestina.",Yes
Nuo pat pradziu sakiau kad tie suskiai su zvaigzde melyna nesamonemis dalinasi!,Yes
Galėtų ir žydukus pamedžiot . Kiek galima i vienus vartus ,Yes
8 let dambili bambas… pasaka bukapročiams rusofašistams.,Yes
"Jėzaus žudikai teigia,kad patys palestiniečiai susprogdino",Yes
"Kur tas kryžius buvo, kaip putlerfašistai ukrainiečius skerdė? Kaip palestiniečiai skerdė žydus irgi tylėjo",Yes
"Kur tas kryžius buvo, kaip putlerfašistai ukrainiečius skerdė? Kaip palestiniečiai skerdė žydus irgi tylėjo",Yes
pasiziurek ka tie tavo nekalti musulmonai Vokietijoj isdarineja..,Yes
Patys hamasai i save raketa paleido,Yes
"Patys užsidirbo. Dar prieš savaitę tie nekalti civiliai bėgo paskui hamaso teroristus per sieną, ir metalinėm lazdomi žydų vaikus talžė. O dabar staiga vargšais be vandenėlio patapo. Tikiuosi Izraelis nusispjaus į visus jungtinius pautus ir suformuos ten didįjį Izraelio kanjoną. AM ISRAEL HAI",Yes
"Prie visko, absoliuti kaltė -valkatų Hamas, 🐏🐑tu.",Yes
tai pasmerks zydosu atakas? zydai teroristai,Yes
"tikriausiai tidėl kad jie žemo lygio rasė,greičiausiai net nesiskaito homo sapiens.",Yes
"turbūt mirė tie, kuriems likimas neskyrė būti teroristais. Nekalti vaikai paaugę yra siunčiami į teroristines m-klas. Gazoje yra 30 000 teroristinių m-klų.",Yes
"Visi kas remia palestinos teroristus yra lygus vatnikams, kurie remia ruzzija. Kas keista, kad akivaizdu, kad už viso paramos šarsalo, akivaizdžiai kišo ruzzkiu ausys, bet kai kurie mūsų tautiečiai lekia protestuoti už palestiniečių dalbajobus, kurie patys šaudo į savo ligoninę gazoje. Viskas pagal ruzzkiu klasiką, patys muša patys ir rėkia.",Yes
Žydai baisesni už zveris 😢,Yes
Savo alaham aukoja kaušai,Yes
Kur vokiečiai naudos ta kaxolu kalba💩💩💩,Yes
"Kiek zinau,Rusijos planuose iki rudens padaryt taip kad visa ukraina butu be elektros.O ir gerai! Reikia gi fashistus…Visais laikais su jais sitaip. Istorija,laikas niekada nebuna fashistu sajungininkas.As Uz Rusija!✌️",Yes
"bus svente, kai banderos pralaimes",Yes
Sionistinius žudikus apraminti gali tik raketos.,Yes
"Nieko, tuoj is jankiu nusipirks uz musu pinigus vel seno chlamo…",Yes
"Čigonai tinginiai, vagys ir ką su jais daryti?",Yes
"Cigonai yra krikscionys;jei cigonas pavoge is ne cigono,kunigui pet ispazinti nereikia pasisakyti,jei cigonas pavoge is cigono,kunigui reikia pasisakyti.
Turejau reikalu nemazai su cigonais;melagiai,vagys ir kas tik nori.",Yes
"Čigonų genocido! Čigonų! Vaidai, ne bent jūs nenaudokite šitos šlykščios naujakalbės. Išsižadate lietuviško pavadinimo čigonams, po to to bus tėvas Nr.1 ir tėvas Nr.2. Viskas prasideda nuo smulkmenų. Nieko nėra įžedžiamo pavadinime čigonas.",Yes
"„Graži” žydų ideologinė „vėliava” – viduryje akies vyzdis – „nužiūrėjimo simbolis”. Ačiū kad esate, čigonai. Lietuvoje jūsų labai reikia. Kiek reikia apilplėšti ir nužiūrėti žmonių!",Yes
"Jei cigonas pavoge is ne cigono,nera grieko ir nereikia kunigui pasisakyti,jei cigonas pavoge is cigono yra griekas ir reikia kunigui pasisakyti. Visi cigonai turi sirdyje dievuli.",Yes
"Realiai iš Baltarusijos į Lietuvą „migrantus”, o tiksliau perversmininkus, tūkstančiais prisivežė landsbergynas. Kaip ir iš Ukrainos. O tie, kurie sieną kerta neleistinose vietose, tai jie ne iš Baltarusijos, o iš musulmonų kraštų. Jie veržiasi ne į Lietuvą, o į ES. Ir jiems nusiknisti kurioje vietoje jie randa galimybę įsmukti į ES teritoriją.",Yes
Ar sinot nors viena JevroPiderSojuzo teritorija is kurios butu deportuoti soc parazitai? Tai planingas baltuju naikinimas. Taip kad lituviai bus SUNAIKINTI nes jus neimat ginklu ir nekovojat uz savo TEVYNE. Tokie vergai bus ispjauti.,Yes
"Čia gi tie patys įsibrovėliai, kaip ir praėjusį kartą. Tai kiek tų fotosesijų jie prisidarė?",Yes
Pašalpas gaus 3 x didesnes nei runkeliai lietuviai,Yes
"Atkreipkite demesį !!! Kodel pabegeliams nestumia i peti marmalo!?? O antras pastebejimas kad planuojama kad pabegeliu bus 40 000
Bet gi tai armija ir jų „neskiepija” kaip lietuvių.Ar nebus lietuvių skerdynės pabegelių rankomis.!!!??",Yes
"Kas jie? Pabėgėliai, imigrantai, okupantai ar dar kas nors.
Kodėl juos koncentruoja į būrius?
Kodėl LR trukdo jiems judėti savo keliais į Vakarus?
Kodėl laukiama, kol jų susikaups reikiamas kiekis?
NATO privežė technikos, o ES atsivežė vergų – kas toliau?",Yes
Butu labai gerai kad negru ir juodasikniu muslimu atvarytu i lietuva nos 100000. Norim kad jie pradetu pjauti pi.de.ra.sines landzbergiu rezimo uteles. Tikrai padetumem juos ispjauti.,Yes
Butu labai gerai kad negru ir juodasikniu muslimu atvarytu i lietuva nos 100000. Norim kad jie pradetu pjauti pi.de.ra.sines landzbergiu rezimo uteles. Tikrai padetumem juos ispjauti.,Yes
"Imigrantų (pagrinde negrų) maitinimui už 14 eurų užtenka, o tvorai nebe?",Yes
"Manau, kad Lietuva išvalyti nuo žydų gali tik rusai. Todėl ir zviegia zydelkos, kad rusai puola.",Yes
Zydiskos lervos naikina Lietuva. Tokios neturėtų patekti į valdžią.,Yes
"Kada nustos žydai lobti iš žmonių kartos, kuri tą holokausta žino, tiek pat, kaip amerikonai išnaikino indėnus, vokiečiai – prūsus, ar koks Vytautas didysis buvo Lietuvos valdovas. Tai jau istorija ir nereikė Lietuviškos žemėlės darkyti žydų kaulais, nes ji visa nuklota buvusių kovų kaulais.",Yes
"Visa oficiali žmonijos “istorija”-atviras žydaujos melas:

sunaikinta-tiesa.jimdo.com/blog",Yes
"Kanovicius gerai zino kaip zydai nekencia lietuviu. Kaip juokiamasi is Lietuviu, ir kaip tarp saves joe kalba apie lietuvius.
Kanovicius kad jaustusi saugiai tures isvykti pasiemes jau sukrautus lagaminus I savaja zydu sali, ten bus gal saugu.
Taip geriau nei baimeje gyventi ir nieko daugiau nedaryti tik parazituoti Lietuvoje.
Swastika igis savo originalia reiksme gyvenimo.
Turkai virte zydais pries simtmecius nenustoja kenkti kitoms tautoms. Kur tik jie ten salis sugriauta, sugadinta, isplesta, paskleista neapykanta, zmogaus nuzeminta verte.",Yes
"nepatinka,,,- vaziuokit i Tevyne,,,
zydomasonu politikos deka, 30% lietuviu buvo priversti palikti savo Tevyne.",Yes
"Taip zydai daro moralini spaudima prezidentui Nausedai. Prezidente, ka pasirinksi – savo tauta ar isgamas sionistus?",Yes
Žydai jokie nebroliai mums. Kaimynai ir tai nelabai mėgstami.,Yes
"Aš tau jau sakiau – išsikratyk sionistinius kliedesius iš galvos. Jungtinės tautos sionizmą buvo pripažinusios viena iš rasizmo formų, bet kai neliko TSRS, tai sionistai paėmė revanšą ir šią rezoliuciją atšaukė.",Yes
"vokietis, tai dar kaip vokietis, bet litofcai ziauriai drasus ir nagli :/",Yes
"Geriausiai ""lietuvišką"" durnumą išriškyna antisemitizmas ir antirusiškumas, tuo ir naudojasi..",Yes
"
o žydai ir ukrai tikrai geri, nors žudo dar daugiau",Yes
"
o žydai ir ukrai tikrai geri, nors žudo dar daugiau",Yes
"Buki europedalai to nezino, kad naciu yra kiekvienoje tautoje, ir zydu naciai yra vieni iš aršiauiu.",Yes
"Taisykle be jokiu isimciu. Jeigu pedolandzbergistas, nacistas, banderovcas ar sionistas(kas is esmes yra vienas ir tas pats) paragauja nekaltu zmoniu kraujo, jis ant amziu amzinuju virsta vampyru su kruvinu snukiu. Jis ima esti gyvus zmones o laisvu nuo zmoniu edimo laiku vietoje ir ne vietoje(kartais, visiskai nevalingai) ima staugti y Trumpo Menuly ir rekti „Slava Ukraini“ ir „Am Israel Chai“. Padeti cia gali tik uosinis kuolas, pyne cesnaku o geriausiai - ""Iskander -M"" apslakstytas sventintu vandeniu...",Yes
mokyklose mokosi kaip zudyti zydus. Kuo ju liks maziau tuo geriau,Yes
"Palaikau Izraelį,reikia tvarkyt tuos teroristus,jie gali žudyti,o žydai ne!?",Yes
Debiliukai ukrai zaidzia kara ir galvoja laimet tokiais metodais..gaila jau daros dauniuku...,Yes
"Galvažudžiai kacapai ir su vaikais kariauja. Kokiais žvėrimis reikia būti ,kad taip kankinti niekuo dėtus vaikus.",Yes
nuo kada Zzydai is braitano skaitosi ruskiais?,Yes
Miręs orkas - geras orkas.,Yes
"Ruskiai yra padugnės ir debilai, kurie palaiko tą savo išgamą okupantą putiną ir jo karą.",Yes
Didelis sansas daugiau priguldyt ukru i zeme galimai to ir siekia amerika salo dlia kraini,Yes
"Maladiec, greiciau issivalytu nuo tu babaju",Yes
"o dabar turiu klausima, kuo skyresi palestinietis vaikas ir zydas? 🤔 zydus paleist, bet palestiniecius galima bomborduot 🤷‍♂️😆 palestinieciai zverys, bet kazkodel ju zuvo tukstanciais kartu daugiau nei zydu, bet zverys cia palestinieciai nes sukos mirsta nuo zydu bombu",Yes
"žydai ten didžiausi teroristai
",Yes
Nusišikti židauja gali naikinti tautas kaip ir Amerika nes jie pirma suformuoja deversija o po to tipo naikina teroristus,Yes
Židus į pečiu sukišti ir fsio.,Yes
Žydai aferistai yra,Yes
žydai dabar yra banditai .,Yes
Sulygint su žeme tuos teroristus,Yes
Ui kokie pikti žydukai😁,Yes
"Paimti gazos vaikus ykaitais, gal tada pradėtu derėtis. Nes dabar atrodo kad izrelio,ir kitu valstybių, ykaitai, ir žmonės, tai niekas,tik mėsa. O teroristai tai žmonės kuriuos reikia gelbėti.",Yes
Atsilikeliu Lt tauta komentaruose. Labai uz zydus eina 🤣🤣 tik nesupranta kad tiem zydam toks lietuvis tai se gabalas ir ant tokiu krikscioniu zydeliai spjaudo. Teisingai Palestina kovoja uz savo zemes.,Yes
Atsilikeliu Lt tauta komentaruose. Labai uz zydus eina 🤣🤣 tik nesupranta kad tiem zydam toks lietuvis tai se gabalas ir ant tokiu krikscioniu zydeliai spjaudo. Teisingai Palestina kovoja uz savo zemes.,Yes
Palestinai išdaužys dantis ,Yes
Žydai nušluos šiukšles nuo žemės paviršiaus. Tai yra neabejotina ir teisinga🇮🇱,Yes
"žydai okupantai bus išvyti iš Palestinos manau gana greitai, kaip ir žmogėdros rusai iš Ukrainos",Yes
"žydai okupantai bus išvyti iš Palestinos manau gana greitai, kaip ir žmogėdros rusai iš Ukrainos",Yes
"BRAVO latviams, kurie veja lauk tokius brrrr'udus ruZZkius!",Yes
gintu lietuva Kai lietuvis lietuvy sautu nesutare vagia viska ir tyli toks TAs lietuvis ka Tau lietuvis Dave ar padejo Kai sunkesni laikai ?lietuvis bledinstva savus puola ystatymus zino ir jeis naudojasi o supratimo nieko padla grynas galima apklausti lietuviu savi su savais issisaudys viena diena del pinigeliu prieiti moka kitas net neitu tuo keliu o dauguma zmoniu lietuvoje viska paimtu sau savo seimai ir net negalvoje apie didele klaida padare galejo to nedaryti ir viskas normalu butu buve o dabar ponai anglai ponai lietuviai virsta duhu duhas reta matyti vienetai gyvena savo gyvenimus neieskodami ka apgauti retas kuris normalus pinigai zudo ir draugystes ir ne tik ka del ju padares lietuvis tegul patys pasisako kol dar jie Gali taip padaryti veliau lietuvai kelio nebus liks tik zeme gyvunams gyventi ju cia ir vieta o ne isverstaskuriu lietuvaiciu sauniuju nuostabiuju pasiteisinimu pasiruosusiu viska padaryti kad tik man gerai butu ydomu ar pagalvojete atvirksciai kad bus mmm 😭😭😭😭😭😭🎯 👌,Yes
pazink lietuvy pamatysi koks siuksle yra ir taskas karai buvo ir bus kol kaltu ieskos o pirmieji planuoja pisti siukslina autoritetus viska tokia lietuviu siuksliu tauta vienas kitas savo vietoje visi kiti zertvu zertvos kapiniu lietuva tyli kaip zeme siuksles,Yes
"žydai okupantai bus išvyti iš Palestinos manau gana greitai, kaip ir žmogėdros rusai iš Ukrainos",Yes
"ir didziuojuosi tuo. Palestina-pasaulio vezys, kaip ir rusija. Abi isnaikink-milijonai dekos.",Yes
"Koks dar pincetinis rankiojimas? Izraelis nerizikuos savo kariais, o tie laukiniai turėjo galvot prieš organizuojant išpuolį. Jau ta tarptautinė bendruomenė įrodė, kad yra verta nulio.",Yes
"nu palestina yra tiesiog teritorija, apgyvendinta teroristais,. Hezbollah juk nėra šalis? Hamas nėra šalis, isis nėra šalis. Ir palestina nėra šalis",Yes
"palesti a net ne šalis, o dirbtinai sukurta teritorija, kuri apgyvendinta teroristų ir remiamia kitų teroristų - kaip iranas ir irakas. Palestina nieko negamina, neaugina, net elektros savo neturi. Jų tikslas.vyldyti teraktus, ir juos nuolat pumpuoja ginklais ir pinigais. Čia ne šalis.",Yes
"Čigo..ai nieko naujo, kur jie ten bardakas, narkata ir t.t.",Yes
Cigonai,Yes
Čigonai ir per laidotuves susimuša....,Yes
"Aš jų bijau,kaip velnias kryžiaus 😡",Yes
"Čigonam,Dievas suteikė, tokią teisę,vogti!!!🤣🤣🤣🤣🤣",Yes
"Genų nepakeisi😁didelis kibiras deguto į bačką medaus .tokia ta romų tautybės šleifinė istorija. Kiek teko susidurti, norisi bėgti nuo jų tik pamačius, dėje. Gal yra vienas kitas doras žmogus, bet tokio dar nesutikau🙈",Yes
